contig_id	contig_length	viral_length	aai_expected_length	aai_completeness	aai_confidence	aai_error	aai_num_hits	aai_top_hit	aai_id	aai_af	hmm_completeness_lower	hmm_completeness_upper	hmm_num_hits	kmer_freq
k141_120225||full	2172	NA	74209.89359391965	2.9268334649356804	low	12.1929432782492	3	GCA_002603985.1	41.0	33.83	NA	NA	0	1.0
k141_160298||full	3231	NA	48972.274514757686	6.597610652179011	medium	7.36886830689784	12	DTR_743531	53.3	46.46	NA	NA	0	1.0
k141_460854||full	4984	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_561047||full	2142	NA	64258.3518044899	3.3334188317141566	low	19.2245446878348	5	DTR_047506	36.5	19.58	NA	NA	0	1.0
k141_460855||full	1645	NA	46485.99592249005	3.538700133999161	medium	6.1524334251607	1810	DTR_395737	68.2	28.8	NA	NA	0	1.0
k141_440828||full	1100	NA	51151.668550606075	2.1504674845782064	low	14.6621127104172	4	DTR_154297	35.4	71.23	NA	NA	0	1.0
k141_360682||full	1038	NA	41779.9015608718	2.4844481705819046	medium	6.82561045952701	209	DTR_650019	54.95	86.74	1.092780269058296	3.152600896860986	2	1.0
k141_520980||full	755	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_220422||full	1017	NA	47910.633050684126	2.122702071008177	low	12.972234865726	27	DTR_305940	37.7	48.4	NA	NA	0	1.0
k141_541016||full	2470	NA	287866.75737414375	0.858035857467805	low	19.6969102730118	3	GCA_003502405.1	32.5	56.9	NA	NA	0	1.0
k141_140284||full	975	NA	116677.86724222887	0.8356340607219475	medium	6.56994077002317	5	DTR_880310	47.6	65.86	NA	NA	0	1.0
k141_120251||full	1370	NA	112812.16021153147	1.2144080899001886	medium	7.75308368376917	15	DTR_756035	62.0	33.01	NA	NA	0	1.0
k141_400767||full	1480	NA	160298.33960357643	0.923278434237119	medium	6.50135470901849	91	DTR_260517	53.0	91.84	NA	NA	0	1.0
k141_120260||full	1181	NA	57680.87708133148	2.047472333568646	medium	6.28980688067528	19	DTR_238551	49.85	78.77	NA	NA	0	1.0
k141_320643||full	1815	NA	37823.7310030666	4.798574735667528	low	11.7390330599321	17	DTR_409475	38.4	41.89	NA	NA	0	1.0
k141_60129||full	2048	NA	45540.41697615106	4.497104190048396	medium	9.89099717400081	58	DTR_884105	45.7	37.85	NA	NA	0	1.0
k141_340653||full	938	NA	83683.1508667529	1.1208946965842141	medium	7.92314988883452	8	DTR_244802	55.4	36.82	NA	NA	0	1.0
k141_541029||full	4611	NA	39124.84345245183	11.78535067010228	high	3.21556557579932	31	DTR_814388	61.7	75.38	8.207423829177383	14.176363686862235	4	1.0
k141_541031||full	1864	NA	45961.0	4.05561236700681	low	12.9948120840075	4	DTR_804756	49.3	18.78	NA	NA	0	1.0
k141_100191||full	1555	NA	37459.623754376524	4.1511361945228415	low	10.9394929934521	17	DTR_438849	40.3	60.0	NA	NA	0	1.0
k141_220437||full	11676	NA	43770.30129830591	26.675621719907852	medium	7.69849888214628	37	DTR_730652	48.76	84.21	16.06144839243423	33.09650175032946	10	1.0
k141_100193||full	854	NA	34447.673121906104	2.4791224561897067	medium	7.16053999452028	7	DTR_547279	61.1	23.71	NA	NA	0	1.0
k141_460908||full	3783	NA	43589.76491585707	8.678642812831095	low	13.1821249631444	23	DTR_530163	39.71	34.09	6.529622641509434	10.415188679245283	2	1.0
k141_240479||full	903	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_40082||full	650	NA	49414.868101309105	1.3153935747989585	medium	9.60057316854738	43	DTR_877179	46.2	47.66	NA	NA	0	1.0
k141_400798||full	985	NA	36566.080963035885	2.693753265480438	low	13.1305637982196	76	GCA_003866815.1	41.8	31.28	1.66	2.9	1	1.0
k141_280550||full	7370	NA	162576.32719388773	4.5332553190296725	high	3.9743921078897	30	DTR_374012	69.94	48.52	NA	NA	0	1.0
k141_440871||full	2174	NA	93919.0	2.31476059157359	low	29.192375253277	1	DTR_354727	22.9	48.29	NA	NA	0	1.0
k141_180343||full	1494	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_100210||full	1074	NA	54491.54937020702	1.9709478119321084	high	2.68197439460095	13	DTR_836099	76.0	46.39	NA	NA	0	1.0
k141_320672||full	9530	NA	49550.158044694974	19.23303653522921	low	17.4785801713586	175	GCA_004778565.1	37.5	19.65	NA	NA	0	1.0
k141_60146||full	1907	NA	43278.0	4.406395859328065	low	20.4541717367711	1	GCA_002603985.1	32.1	35.64	NA	NA	0	1.0
k141_460923||full	2807	NA	174567.830109671	1.6079709521717274	low	19.2245446878348	2	DTR_244129	36.4	20.89	NA	NA	0	1.0
k141_200390||full	2555	NA	8012.622982279785	31.887186076899887	low	10.9394929934521	11	Sp_2514321934_NZ_ADLN01000058	42.2	57.69	NA	NA	0	1.0
k141_40095||full	942	NA	45113.25845070759	2.0880779450441693	medium	6.82561045952701	21	DTR_387450	57.5	86.05	NA	NA	0	1.0
k141_340661||full	605	NA	39751.17797373436	1.5219674757808548	high	1.91720649974804	29	DTR_103605	85.7	55.95	NA	NA	0	1.0
k141_40098||full	2235	NA	70122.53158724887	3.1872779681651053	medium	7.60627655447017	20	GCA_002955325.1	52.72	39.41	NA	NA	0	1.0
k141_561116||full	3100	NA	172152.47374153134	1.800729279472522	low	11.6206370876712	84	DTR_253891	50.3	23.52	NA	NA	0	1.0
k141_180370||full	1083	NA	50568.970036084596	2.141629539275175	low	14.1542002301496	6	DTR_246331	40.3	42.49	NA	NA	0	1.0
k141_340662||full	5793	NA	49606.630169122014	11.677874470106403	low	15.8221246969266	37	DTR_834734	56.7	13.74	NA	NA	0	1.0
k141_180372||full	1366	NA	55438.75929706751	2.4639801058323036	low	11.4280975286117	48	DTR_786174	41.7	100.0	NA	NA	0	1.0
k141_40107||full	350	NA	37987.46013904982	0.9213566759105641	medium	6.90605370804594	4	DTR_243452	53.8	72.88	NA	NA	0	1.0
k141_40116||full	671	NA	121450.29504941139	0.5524893947165853	medium	8.46362257960279	16	DTR_533606	51.5	42.31	NA	NA	0	1.0
k141_220462||full	3537	NA	447634.0	0.7901544565426218	low	27.3188716901985	1	DTR_254589	26.2	22.02	NA	NA	0	1.0
k141_39||full	3289	NA	44610.56606218796	7.372692817694967	high	4.62276493676406	87	GCA_002605365.1	64.69	55.74	2.899945504087193	8.69092643051771	2	1.0
k141_220463||full	3325	NA	45283.37654997603	7.342650335118971	medium	6.55782341160443	58	DTR_374898	53.8	34.18	NA	NA	0	1.0
k141_180381||full	3365	NA	172483.68523273797	1.950909151471047	low	11.9200678430089	3	DTR_412865	30.87	100.0	NA	NA	0	1.0
k141_160345||full	3350	NA	164955.83340461887	2.0308466398898495	high	3.27257663628832	184	DTR_545242	61.67	88.36	1.48	9.15	1	1.0
k141_581117||full	6928	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_20081||full	1845	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_460992||full	1269	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_40129||full	2355	NA	154559.29322162987	1.5236870918030496	low	19.8204252802495	2	DTR_453091	22.9	92.03	1.63	6.67	1	1.0
k141_561127||full	654	NA	56475.59942417118	1.158022237334753	medium	9.76253298153034	10	DTR_541604	44.7	85.8	NA	NA	0	1.0
k141_380795||full	715	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_521008||full	1813	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_380810||full	1076	NA	134424.96567708335	0.8004465499249411	low	11.0823071937784	7	DTR_506837	38.2	69.8	NA	NA	0	1.0
k141_80203||full	2201	NA	72640.65032706798	3.0299838865564843	low	11.7390330599321	4	DTR_354727	39.1	40.03	NA	NA	0	1.0
k141_380819||full	2605	NA	180356.41314873195	1.4443622794004956	low	12.1929432782492	31	GCA_002630745.1	41.9	33.33	NA	NA	0	1.0
k141_280629||full	1272	NA	51604.30789484381	2.4649104927286416	medium	5.34451919204702	51	GCA_000839145.1	53.09	74.17	NA	NA	0	1.0
k141_180405||full	2416	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_120298||full	5046	NA	68160.13826223028	7.403153996822437	low	19.4362889019378	124	DTR_319604	36.3	22.27	NA	NA	0	1.0
k141_521025||full	928	NA	80031.01726575241	1.1595504239543362	low	13.9604954804151	25	MW001214	35.0	91.53	NA	NA	0	1.0
k141_82||full	582	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_100273||full	1123	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_300721||full	502	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_87||full	495	NA	NA	NA	NA	NA	0	NA	NA	NA	0.81	1.59	1	1.0
k141_480923||full	2671	NA	38577.59903666931	6.923707194584932	low	16.7547169811321	8	DTR_416653	34.1	27.56	2.39	8.33	1	1.0
k141_40162||full	2602	NA	45304.037837136144	5.743417417568719	low	14.7807123818755	67	DTR_024694	33.8	44.93	NA	NA	0	1.0
k141_480934||full	296	NA	53488.680590292584	0.5533881126499869	high	2.73401675260358	95	DTR_637566	75.9	73.12	NA	NA	0	1.0
k141_521031||full	6164	NA	146367.30004992508	4.21132315612674	low	22.5747580936448	4	OK499991	44.9	6.56	NA	NA	0	1.0
k141_103||full	1427	NA	141298.0	1.009922291893728	low	13.9180409795102	1	GCA_001550705.1	35.3	66.9	NA	NA	0	1.0
k141_561165||full	4643	NA	45507.61025693574	10.202689118997121	high	3.56566923490414	11	DTR_868016	59.02	72.32	8.405954899042936	14.943532274406172	8	1.0
k141_461059||full	1954	NA	8576.0	22.784514925373134	low	14.8448260270765	1	GCA_000908095.1	41.4	28.24	NA	NA	0	1.0
k141_400877||full	1764	NA	45245.00811012207	3.898772646269818	low	10.5427046263345	106	DTR_102639	45.12	68.44	2.644806763285024	4.931328502415459	2	1.0
k141_121||full	3158	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_120332||full	1131	NA	52893.1823295559	2.138271796454218	medium	5.55941234566949	177	DTR_542744	58.1	71.93	NA	NA	0	1.0
k141_561173||full	4328	NA	32733.75778766942	13.221824478796405	medium	6.05636618029182	10	DTR_637934	55.28	58.73	7.059999999999999	13.889999999999999	1	1.0
k141_521044||full	4946	NA	44738.45965633865	11.055364976785112	medium	9.77042178323545	16	DTR_156778	44.6	46.13	7.783125416849963	18.79040414934226	3	1.0
k141_180433||full	1116	NA	43101.25579275072	2.5892517038626566	medium	8.79104251777879	12	DTR_572133	52.8	25.46	NA	NA	0	1.0
k141_160354||full	20022	16816	51132.600012408504	32.88704270058477	medium	7.01038529458646	35	DTR_844100	48.96	36.82	28.631518382162973	47.52601667529375	6	1.0
k141_124||full	2202	NA	66880.62170645336	3.2924335088642387	low	11.8649517684887	40	DTR_148573	35.1	68.3	NA	NA	0	1.0
k141_360768||full	711	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_60166||full	3402	NA	206768.07339628943	1.6453217095464077	low	19.2245446878348	29	DTR_022094	32.8	18.76	NA	NA	0	1.0
k141_240493||full	1056	NA	42715.6716853408	2.4721605872872154	low	13.8001033911972	8	MT210152	39.7	34.07	NA	NA	0	1.0
k141_521061||full	558	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_521066||full	636	NA	137929.47341757503	0.46110521866094545	medium	7.199499142223	103	DTR_239925	59.8	67.05	0.26	1.31	1	1.0
k141_360781||full	1606	NA	122663.16153238546	1.3092765423105328	low	20.2028081123245	3	DTR_347039	31.8	49.33	NA	NA	0	1.0
k141_260610||full	1673	NA	55533.17810797157	3.0126134627973817	medium	5.83158658427762	305	DTR_736632	65.9	36.65	1.1199999999999999	5.1	1	1.0
k141_100301||full	637	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_501055||full	3457	NA	130686.34223298359	2.645264945771431	low	19.6969102730118	5	DTR_412865	28.3	52.59	NA	NA	0	1.0
k141_160390||full	1212	NA	63470.191528138304	1.909557811028005	medium	6.52300524170064	2	DTR_386904	50.6	68.02	1.34	12.07	1	1.0
k141_521083||full	1868	NA	74096.90450591705	2.5210229934110537	low	15.760181986278	6	CP069348	35.3	36.79	NA	NA	0	1.0
k141_120335||full	24017	NA	40659.428625176355	59.06871004362479	high	2.25713601784223	3	DTR_756608	79.84	82.46	35.60199035879515	71.8027475629787	18	1.0
k141_521091||full	548	NA	40117.40074349442	1.3659907916363838	low	16.0791589363018	3	DTR_332466	35.2	83.33	NA	NA	0	1.0
k141_60176||full	1191	NA	30278.34202065755	3.933504678649294	high	2.69320843091335	22	DTR_596289	71.7	67.88	NA	NA	0	1.0
k141_440949||full	1148	NA	41924.692126386966	2.7382431254097646	medium	6.04827353123416	469	DTR_818892	75.0	22.55	NA	NA	0	1.0
k141_280656||full	1301	NA	42457.26922093564	3.064257367165946	high	4.1478960989169	17	DTR_730652	66.68	68.82	1.9463011152416356	3.773438661710037	2	1.0
k141_360791||full	1104	NA	50224.31795087425	2.1981383621373456	low	19.9779518633113	4	GCA_002607325.1	30.3	88.12	NA	NA	0	1.0
k141_180441||full	7965	NA	45496.57872957575	17.506810890864262	high	2.28458561202005	42	GCA_004779225.1	71.02	78.38	13.52246505152213	27.048456487892665	7	1.0
k141_160402||full	2721	NA	61581.56883580604	4.418529848200131	medium	5.24868308593221	85	DTR_595705	73.8	29.28	1.6691089108910893	7.091584158415842	2	1.0
k141_561219||full	6898	NA	53628.144733914785	12.862648958351267	low	25.4390035413359	68	DTR_153467	38.8	12.71	NA	NA	0	1.0
k141_360793||full	1542	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_160404||full	3510	NA	148129.59509263444	2.3695467457431336	low	10.738170664253	6	Sp_2560464099_APSO01000075	30.9	57.2	NA	NA	0	1.0
k141_461094||full	3968	NA	148067.71098428924	2.6798550295823955	high	4.4433398762223	88	DTR_148573	52.26	90.55	NA	NA	0	1.0
k141_501091||full	1258	NA	168809.51072215778	0.7452186755463868	low	10.6198315369057	97	DTR_872781	43.6	51.45	NA	NA	0	1.0
k141_60196||full	1037	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_220588||full	3648	NA	57140.410357234236	6.384273366595006	low	23.0547056367741	45	DTR_220179	28.3	26.59	NA	NA	0	1.0
k141_172||full	2331	NA	121580.58049711696	1.9172469735454791	low	14.7807123818755	122	GCA_004780045.1	34.3	44.86	NA	NA	0	1.0
k141_420881||full	2185	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_60206||full	825	NA	53157.108906080706	1.5520031412122701	medium	6.56994077002317	61	GCA_002955325.1	51.9	62.83	NA	NA	0	1.0
k141_360819||full	4774	NA	44454.41062401127	10.739091876344455	low	22.6418050767784	17	DTR_567315	32.0	31.77	NA	NA	0	1.0
k141_160426||full	1829	NA	53077.49742703654	3.4459047405432996	medium	5.38031390760123	35	DTR_156779	62.6	44.22	NA	NA	0	1.0
k141_60211||full	1310	NA	60892.0	2.1513499310254223	low	17.8799711493024	1	MW584169	29.2	56.48	NA	NA	0	1.0
k141_320917||full	2446	NA	37985.99047567825	6.439216061948233	low	10.3754165273183	28	DTR_238560	40.5	81.23	NA	NA	0	1.0
k141_120362||full	697	NA	132570.01018211085	0.5257599354805315	medium	7.84639697883956	14	DTR_158943	51.5	43.58	NA	NA	0	1.0
k141_185||full	645	NA	45944.29001673601	1.4038741261755214	high	2.15991771742029	30	DTR_501781	78.6	75.84	NA	NA	0	1.0
k141_260638||full	8764	NA	96431.67201183668	9.088300365593835	medium	8.42881601475043	2	DTR_260547	34.78	51.95	NA	NA	0	1.0
k141_260641||full	854	NA	52444.919715229735	1.6283750735764837	high	2.90887460477086	4	DTR_710967	74.68	100.0	NA	NA	0	1.0
k141_20189||full	1329	NA	44653.67867998263	2.9762385525378106	medium	7.7824144533864	6	DTR_095450	40.7	20.2	NA	NA	0	1.0
k141_360847||full	1064	NA	37502.21252280287	2.8371659388177295	low	12.3950755456072	17	DTR_517021	40.8	56.84	NA	NA	0	1.0
k141_160452||full	3412	NA	147916.57355566308	2.306705677383756	low	18.8069420012078	6	Sp_2560464099_APSO01000075	32.3	57.79	NA	NA	0	1.0
k141_480992||full	1204	NA	109637.85205598216	1.0981608791325332	low	14.1542002301496	3	GCA_002601445.1	40.8	37.92	NA	NA	0	1.0
k141_220649||full	3071	NA	39076.36202736899	7.85897110342329	medium	9.85301735896608	20	DTR_850244	66.9	21.92	NA	NA	0	1.0
k141_521186||full	1394	NA	142575.08558670053	0.977730431837828	medium	5.68494985837863	34	DTR_519941	60.6	76.26	NA	NA	0	1.0
k141_200425||full	1156	NA	121896.23012732044	0.948347622229629	medium	6.53280625218078	14	DTR_881890	61.8	50.84	NA	NA	0	1.0
k141_280741||full	2210	NA	39931.14978758651	5.534526332840604	high	2.94652600945798	4	DTR_215985	72.07	86.2	2.8786667761799882	9.580548640125537	3	1.0
k141_521188||full	2120	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_320937||full	3680	NA	217892.5563158993	1.6889057901843871	low	12.4955291822468	12	GCA_001550705.1	36.9	40.19	NA	NA	0	1.0
k141_240610||full	2587	NA	38087.19648737651	6.792308803451644	high	3.59564862876121	57	DTR_832849	62.97	75.06	4.892914267037177	8.292827127319107	5	1.0
k141_140434||full	2467	NA	41341.03253953316	5.9674368259691715	medium	5.24868308593221	57	DTR_561700	73.4	30.98	NA	NA	0	1.0
k141_200427||full	1083	NA	285017.0	0.3799773346852995	low	10.4094095052806	1	DTR_558353	44.3	33.77	NA	NA	0	1.0
k141_40170||full	94474	23760	395690.36643732706	6.004695088719912	low	34.9257320695997	40	DTR_793074	35.74	5.01	37.89393464115795	76.03319939357839	6	1.0
k141_320939||full	9527	NA	50567.58952907024	18.840130780849517	low	26.9204150716114	5	DTR_381403	40.3	11.23	NA	NA	0	1.0
k141_260703||full	872	NA	35317.0	2.469065888948665	medium	6.56994077002317	1	DTR_210116	51.0	62.55	NA	NA	0	1.0
k141_40173||full	3635	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_300851||full	755	NA	35550.0	2.1237693389592125	medium	6.35063036659548	1	DTR_237545	59.01	83.85	NA	NA	0	1.0
k141_241||full	1591	NA	57479.83288902927	2.76792732343462	medium	6.26853028377806	15	DTR_242168	60.46	51.63	NA	NA	0	1.01
k141_40178||full	4504	NA	45487.52988417502	9.901614819420935	high	4.54554919312858	36	DTR_543412	55.54	68.07	6.382483222799254	12.907349678580697	3	1.0
k141_160464||full	1023	NA	104166.00000000001	0.9820862853522261	low	10.0651710208396	1	DTR_888921	48.1	27.27	0.65	2.6400000000000006	1	1.0
k141_481019||full	939	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_441000||full	1762	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_461118||full	799	NA	46696.91265661885	1.711033887562049	low	15.5702184012636	3	DTR_872988	37.5	39.1	NA	NA	0	1.0
k141_420965||full	918	NA	40394.0	2.272614744764074	low	18.9819526322458	1	GCA_004783885.1	28.2	68.54	NA	NA	0	1.0
k141_380982||full	811	NA	50404.768365072036	1.6089747583523906	medium	5.20086681113519	105	DTR_593979	65.2	41.49	NA	NA	0	1.0
k141_380985||full	1135	NA	43944.85243227524	2.5827825949562198	low	10.5500982318271	169	DTR_547829	52.2	20.39	NA	NA	0	1.0
k141_561291||full	1202	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_481034||full	607	NA	55973.0	1.0844514319404	high	3.17468275732468	2	GCA_002607325.1	70.4	83.89	NA	NA	0	1.0
k141_360933||full	1357	NA	58618.416019456265	2.3149721404099233	high	2.71012006861063	246	DTR_658350	82.9	34.8	0.8399999999999999	3.68	1	1.0
k141_541194||full	2844	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_420984||full	871	NA	44743.267167698206	1.946661598795375	low	18.9819526322458	6	DTR_462993	30.9	71.43	NA	NA	0	1.0
k141_200474||full	9967	NA	99342.0	10.033017253528216	low	18.6356392398109	1	DTR_509356	39.9	12.87	NA	NA	0	1.0
k141_541212||full	1617	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_421013||full	4188	NA	82697.49863987313	5.064240235654152	low	18.451911776551	13	DTR_267733	50.6	14.33	NA	NA	0	1.0
k141_200485||full	6622	NA	33052.121990424275	20.03502226549478	high	1.91673212882954	14	DTR_649504	78.43	90.2	6.357862232779097	18.95771971496437	2	1.0
k141_120379||full	4880	NA	66230.58360595908	7.368197189735956	medium	5.51537070524412	22	DTR_865913	56.5	39.71	NA	NA	0	1.0
k141_180507||full	4962	NA	146148.1291620698	3.395185438533688	medium	6.24206248412497	3	DTR_466817	61.87	42.11	NA	NA	0	1.0
k141_100371||full	684	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_220756||full	3249	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_20255||full	3442	NA	67208.0	5.12141411736698	low	15.760181986278	1	DTR_571288	35.28	34.04	2.08	9.87	1	1.0
k141_381088||full	2659	NA	100655.38116623559	2.6416868817063803	low	14.0347901471891	6	DTR_262185	29.2	83.92	NA	NA	0	1.0
k141_561325||full	881	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.0
k141_541242||full	2002	NA	77279.29014259146	2.590603506199424	low	19.7445197918309	5	DTR_200412	39.5	20.61	NA	NA	0	1.0
k141_240702||full	1786	NA	61753.470020196306	2.8921451691959876	medium	5.80669068180352	144	DTR_222305	57.1	62.61	NA	NA	0	1.0
k141_80219||full	2783	NA	74764.43113420306	3.722358289604961	low	23.4654606721646	16	DTR_876484	26.6	63.4	NA	NA	0	1.0
k141_120389||full	1510	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	1.02
k141_280873||full	1141	NA	41672.21636440321	2.7380353135588265	low	10.0651710208396	9	DTR_239543	50.9	24.1	NA	NA	0	1.0
